n,c,s
100,330,175
200,623,318
300,864,452
400,1089,563
500,1346,700
600,1470,751
700,1758,918
800,1944,964
900,1983,956
1000,2262,1126
1100,2523,1220
1200,2789,1427
1300,3070,1596
1400,2990,1404
1500,3302,1622
1600,3627,1823
1700,3801,1907
1800,3947,1945
1900,4178,2103
2000,4517,2341
2100,4598,2341
2200,4955,2536
2300,5093,2611
2400,5113,2581
2500,5379,2696
2600,5814,2979
2700,5521,2650
2800,6011,3057
2900,6018,2889
3000,6173,3013
3100,6630,3304
3200,6682,3241
3300,6904,3378
3400,7535,3925
3500,7151,3478
3600,7721,3854
3700,7985,4135
3800,7903,3892
3900,8760,4511
4000,8275,4022
4100,8989,4637
4200,8961,4533
4300,9006,4471
4400,9091,4390
4500,9603,4873
4600,9591,4820
4700,9388,4518
4800,9936,4928
4900,10019,4873
5000,10804,5626
5100,11122,5824
5200,11607,6156
5300,11047,5427
5400,10942,5381
5500,10848,5205
5600,11837,5883
5700,12116,5991
5800,11328,5365
5900,12731,6523
6000,12300,5985
6100,12575,6196
6200,12581,6178
6300,13736,7235
6400,13845,7195
6500,14061,7294
6600,13968,7008
6700,14536,7641
6800,13687,6690
6900,14326,7203
7000,14928,7722
7100,14452,7070
7200,15061,7406
7300,14572,7092
7400,15443,7749
7500,15654,7950
7600,15653,7927
7700,16748,8795
7800,16559,8443
7900,16351,8117
8000,16939,8715
8100,16626,8288
8200,16423,8021
8300,17059,8388
8400,17041,8342
8500,17891,8946
8600,17440,8635
8700,16847,7895
8800,19130,10055
8900,19302,9983
9000,20156,10880
9100,17797,8335
9200,18173,8718
9300,19510,9914
9400,21191,11449
9500,18540,8777
9600,20667,10737
9700,20341,10329
9800,20975,10778
9900,19887,9632
10000,20425,10249
