n,c,s
100,493,176
200,892,315
300,1391,499
400,1831,644
500,2319,820
600,2784,976
700,3269,1140
800,3713,1311
900,4177,1468
1000,4670,1627
1100,5152,1793
1200,5603,1960
1300,6076,2133
1400,6523,2285
1500,6999,2454
1600,7519,2622
1700,7988,2779
1800,8455,2944
1900,8975,3126
2000,9346,3263
2100,9917,3439
2200,10287,3612
2300,10818,3767
2400,11329,3936
2500,11678,4049
2600,12165,4268
2700,12639,4436
2800,13163,4597
2900,13711,4764
3000,14111,4901
3100,14729,5099
3200,15009,5226
3300,15614,5407
3400,15979,5609
3500,16579,5743
3600,16886,5918
3700,17568,6102
3800,18094,6266
3900,18278,6429
4000,18496,6525
4100,19211,6710
4200,19762,6926
4300,20451,7078
4400,20937,7244
4500,21479,7393
4600,21647,7551
4700,22067,7682
4800,22038,7818
4900,23476,8025
5000,23748,8236
5100,24021,8341
5200,24625,8558
5300,25180,8736
5400,25434,8868
5500,26246,9068
5600,26713,9158
5700,26654,9355
5800,27359,9565
5900,27688,9706
6000,28142,9851
6100,29199,10090
6200,29207,10189
6300,29631,10393
6400,30165,10514
6500,30583,10687
6600,31604,10838
6700,31369,11014
6800,32110,11161
6900,32582,11353
7000,33396,11555
7100,33780,11729
7200,34115,11867
7300,34740,12026
7400,35362,12273
7500,35030,12314
7600,35899,12498
7700,36717,12713
7800,36854,12818
7900,37631,12978
8000,37903,13120
8100,38382,13346
8200,39214,13545
8300,40002,13713
8400,39924,13874
8500,40227,14042
8600,40468,14189
8700,40652,14303
8800,41482,14508
8900,41986,14626
9000,43005,14787
9100,42824,14935
9200,43631,15175
9300,43724,15264
9400,44862,15386
9500,44248,15616
9600,45274,15848
9700,46542,15946
9800,46521,16195
9900,46715,16303
10000,47020,16447
