n,c,s
100,575,202
200,1222,437
300,1890,671
400,2504,896
500,3241,1135
600,3967,1389
700,4608,1627
800,5382,1886
900,6002,2122
1000,6780,2356
1100,7400,2613
1200,8373,2916
1300,8962,3128
1400,9643,3387
1500,10421,3648
1600,11217,3879
1700,11848,4148
1800,12512,4386
1900,13191,4635
2000,14090,4922
2100,14817,5182
2200,15473,5419
2300,16136,5639
2400,16884,5926
2500,17915,6218
2600,18626,6462
2700,19382,6751
2800,20166,6970
2900,20797,7161
3000,21668,7476
3100,21907,7681
3200,22862,7976
3300,23847,8246
3400,24566,8543
3500,25036,8686
3600,26236,9088
3700,26936,9350
3800,27719,9540
3900,28130,9772
4000,29037,10058
4100,29391,10326
4200,30606,10566
4300,31042,10777
4400,31682,11114
4500,32756,11381
4600,33659,11690
4700,34469,11978
4800,35291,12203
4900,35954,12351
5000,36763,12660
5100,37044,12908
5200,38102,13225
5300,38838,13490
5400,39915,13798
5500,40233,14004
5600,40976,14272
5700,42060,14454
5800,42991,14805
5900,43833,15112
6000,44109,15259
6100,44339,15478
6200,45926,15879
6300,45853,15982
6400,47195,16345
6500,47704,16673
6600,49293,16919
6700,49718,17168
6800,50586,17374
6900,50460,17704
7000,51579,18061
7100,53155,18390
7200,53829,18599
7300,54860,18828
7400,54518,18849
7500,55539,19310
7600,56026,19487
7700,56955,19745
7800,57997,20115
7900,59042,20308
8000,59330,20505
8100,60168,20710
8200,60991,21180
8300,61750,21425
8400,62460,21603
8500,63146,21911
8600,64088,22165
8700,64844,22514
8800,65704,22888
8900,65875,22887
9000,67540,23213
9100,68662,23627
9200,68781,23811
9300,68904,24020
9400,70091,24332
9500,71581,24718
9600,71820,24896
9700,72951,25145
9800,73486,25374
9900,74548,25716
10000,75071,25949
